sorszám;cím;alcím;ünnepkör;kategória;előjegyzés;ütemmutató;versszakok száma
142;Zálogát adtad, ó Jézus;;;ének az Oltáriszentségről;-;4/4;4
143;Előtted, Jézusom, leborulok;;;ének Jézusról;1b;3/4;5
144;Édes Jézus, én szerelmem;;;ének Jézusról;3b;4/4;4
145;Győzhetetlen én kôszálom;;;ének Jézusról;2b;4/4;6
146;Hol vagy én szerelmes Jézus Krisztusom;;;ének Jézusról;1#;5/4, 3/4;6
147;Jöjj el, Jézus;;;ének Jézusról;1b;4/4;5
148;Néked, én Jézusom;;;ének Jézusról;2b;3/4;4
149;Ó én Jézusom, hol merre jársz-kelsz;;;ének Jézusról;2#;4/4;5
150;Uram Jézus! Légy velünk;;;ének Jézusról;1#;4/4;5
151;Zengjünk Jézus szent Nevének;Jézus szent Nevéről;;ének Jézusról;1#;4/4;8
152;Ó Jézus, emlékezni rád;Jézus szent Nevéről;;ének Jézusról;1b;3/4;5
153;Ó add, Jézusom, nékem;Jézus szent Szívéről;;ének Jézusról;1b;4/4;2
154;Jézusomnak Szívén;Jézus szent Szívéről;;ének Jézusról;-;4/4;2
155;Jézus Szíve;Jézus szent Szívéről;;ének Jézusról;1#;3/4;5
156;Jézus Szívét dícsérni;Miseének Jézus szent Szívéről;;ének Jézusról;1#;4/4;5
157;Szeretlek, szép Jézus;Jézus szent Szívéről;;ének Jézusról;1#;4/4;5
158;Acélszárnyon;;;ének Jézusról;3#;4/4;4
159;Ó édes Jézus, ég és föld;Krisztus-Királyról;;ének Jézusról;1#;4/4;6
160;Isten legszebb temploma;Miseének Boldogasszony Szeplőtelen Fogantatására, dec. 8.;Mária-ünnepek;;1#;4/4;6
161;Máriát dícsérje lelkünk;Boldogasszony Szeplőtelen Fogantatására, dec. 8.;Mária-ünnepek;;-;4/4;7
162;Üdvözlégy Mária, Isten szülője;Boldogasszony Szeplőtelen Fogantatására, dec. 8.;Mária-ünnepek;;2b;4/4;6
163;Ki negyven nap előtt;Gyertyaszentelő Boldogasszony napjára, február 2.;Mária-ünnepek;;2b;4/4;10
164;Ó, Sion, templomod;Gyertyaszentelő Boldogasszony napjára, február 2.;Mária-ünnepek;;-;4/4;4
165;Mária kis hajlékában;Gyümölcsoltó Boldogasszony napjára, március 25.;Mária-ünnepek;;1#;4/4;10
166;Mennyből követ ma küldetett;Gyümölcsoltó Boldogasszony napjára, március 25.;Mária-ünnepek;;2b;4/4;4
167;Felvitetett magas mennyországba;Nagyboldogasszony napjára, augusztus 15.;Mária-ünnepek;;1b;3/4;8
168;Örülj, vigadj;Nagyboldogasszony napjára, augusztus 15.;Mária-ünnepek;;1b;4/4;6
169;Nagy örömmel, énekléssel;Kisasszony napjára, szeptember 8.;Mária-ünnepek;;1b;4/4;4
170;Felvirradt az új örömnap;Kisasszony napjára, szeptember 8.;Mária-ünnepek;;2#;4/4;9
171;Mondj, szívem, dalt;Mária névnapjára, szeptember 12.;Mária-ünnepek;;3#;4/4;3
172;Ó, Mária, drága név;Mária névnapjára, szeptember 12.;Mária-ünnepek;;3b;4/4;6
173;Áldozzunk, hív keresztények;Miseének;;Mária-ének;1#;4/4;6
174;Boldogasszony, édes;Miseének;;Mária-ének;1#;4/4;6
175;Krisztusnak szent vérén;Miseének;;Mária-ének;2b;2/4;5
176;Néped, Isten, eléd járul;Miseének;;Mária-ének;-;4/4;7
177;Szívünk-lelkünk összeszedjük;Miseének;;Mária-ének;-;3/4;7
178;Szűz Mária, mennynek gyöngyös ékessége;Miseének;;Mária-ének;1b;4/4;6
179;Bús szívemnek;Mária szent Nevéről;;Mária-ének;2#;4/4;9
180;Dícsérjük Jézus szentséges szűz Anyját;;;Mária-ének;3b;2/4;3
181;Hozzád futok bánatommal;;;Mária-ének;-;4/4;3
182;Keserű gondok;;;Mária-ének;1#;3/4;4
183;Lelkem tiszta lánggal ég;;;Mária-ének;1b;4/4;4
184;Mária, édes Szűzanya;;;Mária-ének;1#;3/4;6
185;Mária, Szűzanya;Mária szentséges Szívéről;advent;Mária-ének;2b;2/4;4
186;Mondj naponkint;;;Mária-ének;-;4/4;8
187;Nagy mentsége reménysége;;;Mária-ének;2#;4/4;6
188;Néked ajánljuk, Szűzanyánk;Májusi ének;;Mária-ének;-;3/4;4
189;Nyújtsd ki mennyből;;;Mária-ének;3#;4/4;8
190;Ó áldott Szűzanya;;;Mária-ének;1b;6/4;7
191;Ó dicsőséges Asszonyság;;;Mária-ének;3b;3/4;4
192;Ó dicsőséges, ó ékességes;;;Mária-ének;-;3/4;13
193;Ó dicsőült szép kincs;;advent;Mária-ének;1#;4/4;5
194;Ó Mária szent Szíve;Mária szentséges Szívéről;;Mária-ének;-;3/4;5
195;Te vagy földi éltünk;;;Mária-ének;3#;4/4;5
196;Üdvözlégy Mária, tengernek csillagja;;;Mária-ének;-;4/4;6
197;Üdvözlégy, ó szép mennyek;;;Mária-ének, Mária-antifóna;-;4/4;2
198;Mennybéli Atyaisten;lorettói litánia;;ének litániákra;-;4/4;15
